n_samples,Eps_modes,Algorithm,ARI,Std_ARI,NMI,Std_NMI,MSE,Std_MSE,Mean_Runtime(s),Std_Runtime(s),Silverman_h
700,0.1,DP-GRAMS-C,0.20990760200378217,0.22984532645915615,0.30364863652108753,0.2956125714646212,27.36032251166889,6.5414565811614285,0.013931512832641602,0.004424382121988821,2.414558917152772
700,0.1,DP-KMeans,0.49748511989305183,0.15289531565829848,0.6419871659938856,0.12432218367035205,1.6612568204400353,0.7190879584447109,0.007108473777770996,0.00047997289318843175,2.414558917152772
700,0.2,DP-GRAMS-C,0.43378048799669183,0.18980531955138283,0.59279947930781,0.16070743841452667,6.475919264378608,3.1043555436161667,0.012928569316864013,5.758639466182055e-05,2.414558917152772
700,0.2,DP-KMeans,0.5611765361969694,0.14961814383226285,0.7013630804473061,0.10041945895726409,1.3939619527360367,0.5774661383165429,0.006770944595336914,0.0006458922489886547,2.414558917152772
700,0.5,DP-GRAMS-C,0.8438992231881869,0.12252539701078288,0.8669291338489694,0.07509124644281202,0.1745189752924215,0.16720848899706317,0.013163590431213379,0.00039164037348820007,2.414558917152772
700,0.5,DP-KMeans,0.637088638185401,0.14250410741141503,0.7413005167778148,0.09238317357629262,0.9836335943052408,0.581754864459659,0.006659817695617676,0.0005202418711174917,2.414558917152772
700,1.0,DP-GRAMS-C,0.9315171828176199,0.049125891751089834,0.9233958687343418,0.03370354377275449,0.026550663275789255,0.02823607640680674,0.012906432151794434,4.985373326482163e-05,2.414558917152772
700,1.0,DP-KMeans,0.7003774639237619,0.1716246017998461,0.787843334270112,0.10088549800941751,0.730278592653953,0.6745968987823358,0.006630885601043701,0.0005474549122234991,2.414558917152772
700,5.0,DP-GRAMS-C,0.9546216159553513,0.004892396307081052,0.9385183670588997,0.00533441771314533,0.0027561259791845675,0.0020033882389004967,0.012887239456176758,4.579694969082434e-05,2.414558917152772
700,5.0,DP-KMeans,0.7637889321950495,0.16812755949226033,0.8238390662900061,0.09815088231394216,0.5424361081410105,0.6069112655904988,0.011603891849517822,0.0012088862658040562,2.414558917152772
1000,0.1,DP-GRAMS-C,0.2505485620958475,0.1659332695276366,0.4036022062655055,0.18916312872355887,26.518089058570858,7.113745507112929,0.019816112518310548,0.00010167905763162075,2.1514636801437566
1000,0.1,DP-KMeans,0.5452083543902341,0.12675852617942246,0.6708288729501922,0.10700479239164414,2.121284255418052,1.2760106924407226,0.007298219203948975,0.0003702249354650908,2.1514636801437566
1000,0.2,DP-GRAMS-C,0.5020331323359557,0.1293895173938286,0.6329650859613242,0.1028821387695383,5.137125818263462,3.043919682288832,0.019740688800811767,0.00010202642350940161,2.1514636801437566
1000,0.2,DP-KMeans,0.5318167939336808,0.1193773972405107,0.655880021970621,0.11315580123091289,1.465641041760668,0.6428459515608582,0.007252311706542969,0.0003551509763834805,2.1514636801437566
1000,0.5,DP-GRAMS-C,0.7948814411217777,0.08209912434754368,0.8369694157201872,0.04402649616396367,0.2117450216626095,0.3282143184384093,0.019676148891448975,7.825169584877162e-05,2.1514636801437566
1000,0.5,DP-KMeans,0.610317076440803,0.11498713256659279,0.7160477487845744,0.09778904987588347,1.1789056908879463,0.9083301301277952,0.007173669338226318,0.0004030823333594332,2.1514636801437566
1000,1.0,DP-GRAMS-C,0.8665070925625976,0.029274861916147175,0.8743867116755487,0.01605039061383498,0.03508012150258891,0.021541868282696358,0.01958458423614502,0.00014282501693402137,2.1514636801437566
1000,1.0,DP-KMeans,0.6791454811194524,0.07378923958718057,0.7740258862971473,0.059690510533804565,0.7307736676254687,0.5287118343682664,0.007000863552093506,0.0004040465667052625,2.1514636801437566
1000,5.0,DP-GRAMS-C,0.8858780151469416,0.008121405846446517,0.8860546063962953,0.004910283104177126,0.005919975159671848,0.003510968304371411,0.01963796615600586,5.9990706741612376e-05,2.1514636801437566
1000,5.0,DP-KMeans,0.7670927722963884,0.10137399588891918,0.8308313200384096,0.049593036545986284,0.3751675370352311,0.46804687307530507,0.017935824394226075,0.0007630866118198069,2.1514636801437566
2000,0.1,DP-GRAMS-C,0.39724547979147734,0.19858094316369262,0.5480899882740322,0.20393277733886775,6.763656482369335,1.8591377585305249,0.05485026836395264,0.0008164009552309424,1.555591115325108
2000,0.1,DP-KMeans,0.4713324698161225,0.14668784860391731,0.6112439088121302,0.12813421792911367,1.6711632600386754,0.6968201164675428,0.008047592639923096,0.0002343997737067638,1.555591115325108
2000,0.2,DP-GRAMS-C,0.6813961631254297,0.032002248496900296,0.7954872664615057,0.04191223656956794,1.1860097922310502,1.1557559607603523,0.05445628166198731,0.00011960232341024369,1.555591115325108
2000,0.2,DP-KMeans,0.5992864487550774,0.09317135743300786,0.7093877916833787,0.09730601878540467,1.2392979825873942,0.5191436641899883,0.007847237586975097,0.00023310003311868008,1.555591115325108
2000,0.5,DP-GRAMS-C,0.6969393474822776,0.022541468963397683,0.771141668588079,0.015537664925493652,0.06763201647109848,0.03154174642098766,0.054749023914337155,0.001263198409761583,1.555591115325108
2000,0.5,DP-KMeans,0.6815428763642062,0.029714325316549682,0.796399173697334,0.04077592386378911,0.6795393172201347,0.4702674457973473,0.007944345474243164,0.0002721624438506107,1.555591115325108
2000,1.0,DP-GRAMS-C,0.7035752749321559,0.030117041440319542,0.7782417155874172,0.01232937558487967,0.10501392489979278,0.28033602449651185,0.05486742258071899,0.0006725864170079463,1.555591115325108
2000,1.0,DP-KMeans,0.6819167376318152,0.06792513679826845,0.7876500704517841,0.06142782905898124,0.5179709973771152,0.6168187118209029,0.008046603202819825,0.00039820329625617733,1.555591115325108
2000,5.0,DP-GRAMS-C,0.7065499106657075,0.03007895971432948,0.7791104363230601,0.011259045059906242,0.10195511903083583,0.28953269724388925,0.05596684217453003,0.0013577306240474497,1.555591115325108
2000,5.0,DP-KMeans,0.6865892700023473,0.027225731190853437,0.7964265718590046,0.02523304310663372,0.5117175405943234,0.5428490377255702,0.023311030864715577,0.0003056160329441492,1.555591115325108
5000,0.1,DP-GRAMS-C,0.9707406017009633,0.09131950207730999,0.9787012090427902,0.059560527498825545,0.07253499573807495,0.13804810134711407,0.23172532320022582,0.0023889665987967146,1.8596466051382041
5000,0.1,DP-KMeans,0.7304819789070472,0.12309649240610145,0.8311938217517658,0.07719036082653764,1.1020264951355394,0.47991812415086677,0.010771834850311279,0.0013799287071383985,1.8596466051382041
5000,0.2,DP-GRAMS-C,0.9993866507513778,0.00031292787083040367,0.9986947774468253,0.0005812565116536034,0.009934754103810959,0.006081028593471827,0.23607254028320312,0.0047042814813521745,1.8596466051382041
5000,0.2,DP-KMeans,0.8102070889678477,0.1614843295625801,0.8783775801871325,0.0989992503718472,0.5198527596865338,0.4226766808605889,0.010898435115814209,0.0015201341965526242,1.8596466051382041
5000,0.5,DP-GRAMS-C,0.9994665599288661,0.0,0.9988269592056513,0.0,0.002597871880546149,0.001270725311325608,0.2336854577064514,0.004846647339095641,1.8596466051382041
5000,0.5,DP-KMeans,0.9085448261239899,0.13284813101058765,0.9386816603669288,0.08342355857921928,0.28096978145582463,0.42801526541045315,0.014372313022613525,0.00045398812900060567,1.8596466051382041
5000,1.0,DP-GRAMS-C,0.9994665599288661,0.0,0.9988269592056513,0.0,0.0007635299039088551,0.00045762015432586806,0.2331315279006958,0.0039063340681902555,1.8596466051382041
5000,1.0,DP-KMeans,0.9332972456235025,0.10796784554829635,0.9525190103495103,0.06759732467588109,0.2388397587173921,0.36741805418628753,0.026139068603515624,0.0003951076336523906,1.8596466051382041
5000,5.0,DP-GRAMS-C,0.9994665599288661,0.0,0.9988269592056513,0.0,0.00020101295812691885,0.00012011862074571361,0.2371337294578552,0.006723536350667651,1.8596466051382041
5000,5.0,DP-KMeans,0.9457726939536393,0.13119597510530379,0.9693268944360446,0.07206712171405259,0.13554763239550227,0.325214288551685,0.029754698276519775,0.0004580695589746631,1.8596466051382041
